,Genus,Type,Site,relative_abundance
223,g__Cenococcum,Root,HKM_3,16.17001069
224,g__Cenococcum,Root,HKM_4,0.540152603
225,g__Cenococcum,Root,HKM_F,1.912883153
236,g__Cladophialophora,Soil,HKM_1,0.721999586
237,g__Cladophialophora,Soil,HKM_2,0.52322079
238,g__Cladophialophora,Soil,HKM_3,0.340431526
239,g__Cladophialophora,Soil,HKM_4,0.17680723
240,g__Cladophialophora,Soil,HKM_F,0.075844832
602,g__Cladophialophora,Soil,RGM_Pit,0.229594765
603,g__Cladophialophora,Soil,RGM_Process,0.000897827
517,g__Cladophialophora,Soil,SH_F,0.003883676
518,g__Cladophialophora,Soil,SH_M,0.12097203
519,g__Cladophialophora,Soil,SH_P,0.002829495
231,g__Cladophialophora,Root,HKM_1,1.103912514
232,g__Cladophialophora,Root,HKM_2,0.280066257
233,g__Cladophialophora,Root,HKM_3,0.035616764
234,g__Cladophialophora,Root,HKM_4,0.016368261
235,g__Cladophialophora,Root,HKM_F,0.275024967
600,g__Cladophialophora,Root,RGM_Pit,0.323039352
601,g__Cladophialophora,Root,RGM_Process,0.003523236
520,g__Cladosporium,Soil,SH_F,0.003106941
521,g__Cladosporium,Soil,SH_M,1.058172924
522,g__Cladosporium,Soil,SH_P,0.002829495
246,g__Clavulina,Soil,HKM_1,0
247,g__Clavulina,Soil,HKM_2,8.049980252
248,g__Clavulina,Soil,HKM_3,0.000586951
249,g__Clavulina,Soil,HKM_4,0.004539986
250,g__Clavulina,Soil,HKM_F,0.000564602
241,g__Clavulina,Root,HKM_1,0
242,g__Clavulina,Root,HKM_2,0.653851183
243,g__Clavulina,Root,HKM_3,0.007914836
244,g__Clavulina,Root,HKM_4,0.003777291
245,g__Clavulina,Root,HKM_F,0
606,g__Clavulinopsis,Soil,RGM_Pit,0.432403475
607,g__Clavulinopsis,Soil,RGM_Process,1.501167175
604,g__Clavulinopsis,Root,RGM_Pit,0
605,g__Clavulinopsis,Root,RGM_Process,0
523,g__Coniochaeta,Soil,SH_F,0
524,g__Coniochaeta,Soil,SH_M,0.445336595
525,g__Coniochaeta,Soil,SH_P,0
256,g__Cortinarius,Soil,HKM_1,0.000352769
257,g__Cortinarius,Soil,HKM_2,1.336576784
258,g__Cortinarius,Soil,HKM_3,8.297138027
259,g__Cortinarius,Soil,HKM_4,0.003026657
260,g__Cortinarius,Soil,HKM_F,0.000564602
610,g__Cortinarius,Soil,RGM_Pit,0
611,g__Cortinarius,Soil,RGM_Process,0.736218352
251,g__Cortinarius,Root,HKM_1,0.001723068
252,g__Cortinarius,Root,HKM_2,6.773898261
253,g__Cortinarius,Root,HKM_3,0.011872255
254,g__Cortinarius,Root,HKM_4,0
255,g__Cortinarius,Root,HKM_F,0
608,g__Cortinarius,Root,RGM_Pit,0
609,g__Cortinarius,Root,RGM_Process,0.003523236
614,g__Cuphophyllus,Soil,RGM_Pit,0
615,g__Cuphophyllus,Soil,RGM_Process,1.278506015
612,g__Cuphophyllus,Root,RGM_Pit,0
613,g__Cuphophyllus,Root,RGM_Process,0
526,g__Dactylonectria,Soil,SH_F,0.00155347
527,g__Dactylonectria,Soil,SH_M,0.000664681
528,g__Dactylonectria,Soil,SH_P,0.333880369
266,g__Devriesia,Soil,HKM_1,0.067731557
267,g__Devriesia,Soil,HKM_2,0.021543212
268,g__Devriesia,Soil,HKM_3,1.031859695
269,g__Devriesia,Soil,HKM_4,0.006809979
270,g__Devriesia,Soil,HKM_F,0.000564602
529,g__Devriesia,Soil,SH_F,0
530,g__Devriesia,Soil,SH_M,6.77376901
531,g__Devriesia,Soil,SH_P,0.195235131
261,g__Devriesia,Root,HKM_1,0.003446137
262,g__Devriesia,Root,HKM_2,0
263,g__Devriesia,Root,HKM_3,0.102892873
264,g__Devriesia,Root,HKM_4,0
265,g__Devriesia,Root,HKM_F,0.004609357
618,g__Dioszegia,Soil,RGM_Pit,1.015956836
619,g__Dioszegia,Soil,RGM_Process,0.175974143
616,g__Dioszegia,Root,RGM_Pit,0.074190856
617,g__Dioszegia,Root,RGM_Process,0.017616179
276,g__Elaphomyces,Soil,HKM_1,0.013405204
277,g__Elaphomyces,Soil,HKM_2,0
278,g__Elaphomyces,Soil,HKM_3,0.000586951
279,g__Elaphomyces,Soil,HKM_4,0.932210443
280,g__Elaphomyces,Soil,HKM_F,10.00925947
271,g__Elaphomyces,Root,HKM_1,0
272,g__Elaphomyces,Root,HKM_2,0
273,g__Elaphomyces,Root,HKM_3,0
274,g__Elaphomyces,Root,HKM_4,0
275,g__Elaphomyces,Root,HKM_F,0.188983637
622,g__Fellhanera,Soil,RGM_Pit,0
623,g__Fellhanera,Soil,RGM_Process,0.544083318
620,g__Fellhanera,Root,RGM_Pit,0
621,g__Fellhanera,Root,RGM_Process,0
532,g__Geoglossum,Soil,SH_F,0
533,g__Geoglossum,Soil,SH_M,0.209374668
534,g__Geoglossum,Soil,SH_P,0
626,g__Gymnopus,Soil,RGM_Pit,0
627,g__Gymnopus,Soil,RGM_Process,0.72364877
624,g__Gymnopus,Root,RGM_Pit,0
625,g__Gymnopus,Root,RGM_Process,0
286,g__Hyaloscypha,Soil,HKM_1,0.238471525
287,g__Hyaloscypha,Soil,HKM_2,0.281857025
288,g__Hyaloscypha,Soil,HKM_3,0.073955814
289,g__Hyaloscypha,Soil,HKM_4,0.008323308
290,g__Hyaloscypha,Soil,HKM_F,0
281,g__Hyaloscypha,Root,HKM_1,0.010338411
282,g__Hyaloscypha,Root,HKM_2,2.844252648
283,g__Hyaloscypha,Root,HKM_3,0.031659345
284,g__Hyaloscypha,Root,HKM_4,0.045327491
285,g__Hyaloscypha,Root,HKM_F,0
296,g__Hydnum,Soil,HKM_1,0
297,g__Hydnum,Soil,HKM_2,0.02094479
298,g__Hydnum,Soil,HKM_3,0.000586951
299,g__Hydnum,Soil,HKM_4,1.269682731
300,g__Hydnum,Soil,HKM_F,0
291,g__Hydnum,Root,HKM_1,0
292,g__Hydnum,Root,HKM_2,0
293,g__Hydnum,Root,HKM_3,0
294,g__Hydnum,Root,HKM_4,0
295,g__Hydnum,Root,HKM_F,0
630,g__Hygrocybe,Soil,RGM_Pit,0.588910573
631,g__Hygrocybe,Soil,RGM_Process,2.916502065
628,g__Hygrocybe,Root,RGM_Pit,0
629,g__Hygrocybe,Root,RGM_Process,0
306,g__Hygrophorus,Soil,HKM_1,0
307,g__Hygrophorus,Soil,HKM_2,0.54516295
308,g__Hygrophorus,Soil,HKM_3,2.10245815
309,g__Hygrophorus,Soil,HKM_4,0.018159944
310,g__Hygrophorus,Soil,HKM_F,0
301,g__Hygrophorus,Root,HKM_1,0
302,g__Hygrophorus,Root,HKM_2,0
303,g__Hygrophorus,Root,HKM_3,0
304,g__Hygrophorus,Root,HKM_4,0
305,g__Hygrophorus,Root,HKM_F,0
634,g__Ilyonectria,Soil,RGM_Pit,0.59311981
635,g__Ilyonectria,Soil,RGM_Process,0.840366314
632,g__Ilyonectria,Root,RGM_Pit,0.296763424
633,g__Ilyonectria,Root,RGM_Process,0.468590353
56,g__Inocybe,Soil,BGM_1,0
57,g__Inocybe,Soil,BGM_2,0.002049626
58,g__Inocybe,Soil,BGM_3,0
59,g__Inocybe,Soil,BGM_4,1.68707506
60,g__Inocybe,Soil,BGM_F,0.000684294
638,g__Inocybe,Soil,RGM_Pit,1.086748555
639,g__Inocybe,Soil,RGM_Process,2.332555216
51,g__Inocybe,Root,BGM_1,0
52,g__Inocybe,Root,BGM_2,0.001197404
53,g__Inocybe,Root,BGM_3,0
