,Genus,Type,Site,relative_abundance
411,g__Scleroderma,Root,HKM_1,5.052036667
412,g__Scleroderma,Root,HKM_2,0
413,g__Scleroderma,Root,HKM_3,0
414,g__Scleroderma,Root,HKM_4,0
415,g__Scleroderma,Root,HKM_F,0
426,g__Scytalidium,Soil,HKM_1,1.173308122
427,g__Scytalidium,Soil,HKM_2,0.199873134
428,g__Scytalidium,Soil,HKM_3,0.457234757
429,g__Scytalidium,Soil,HKM_4,0
430,g__Scytalidium,Soil,HKM_F,0.494591115
421,g__Scytalidium,Root,HKM_1,0.048245916
422,g__Scytalidium,Root,HKM_2,0
423,g__Scytalidium,Root,HKM_3,1.159523527
424,g__Scytalidium,Root,HKM_4,0.003777291
425,g__Scytalidium,Root,HKM_F,0
698,g__Sebacina,Soil,RGM_Pit,0
699,g__Sebacina,Soil,RGM_Process,0.168791525
696,g__Sebacina,Root,RGM_Pit,0
697,g__Sebacina,Root,RGM_Process,0.827960399
702,g__Suillus,Soil,RGM_Pit,0
703,g__Suillus,Soil,RGM_Process,0
700,g__Suillus,Root,RGM_Pit,0.779003988
701,g__Suillus,Root,RGM_Process,0.183208258
706,g__Syncephalis,Soil,RGM_Pit,0.086098037
707,g__Syncephalis,Soil,RGM_Process,0.402226612
704,g__Syncephalis,Root,RGM_Pit,0.003091286
705,g__Syncephalis,Root,RGM_Process,0
436,g__Talaromyces,Soil,HKM_1,0.189789468
437,g__Talaromyces,Soil,HKM_2,0.110109751
438,g__Talaromyces,Soil,HKM_3,0.220693541
439,g__Talaromyces,Soil,HKM_4,0.195219395
440,g__Talaromyces,Soil,HKM_F,0.010162831
583,g__Talaromyces,Soil,SH_F,0.191076866
584,g__Talaromyces,Soil,SH_M,0.009970222
585,g__Talaromyces,Soil,SH_P,1.842001019
431,g__Talaromyces,Root,HKM_1,0.489351437
432,g__Talaromyces,Root,HKM_2,0.539427226
433,g__Talaromyces,Root,HKM_3,0.015829673
434,g__Talaromyces,Root,HKM_4,0
435,g__Talaromyces,Root,HKM_F,0
136,g__Thelephora,Soil,BGM_1,0.152239185
137,g__Thelephora,Soil,BGM_2,1.419570644
138,g__Thelephora,Soil,BGM_3,0
139,g__Thelephora,Soil,BGM_4,0.000422826
140,g__Thelephora,Soil,BGM_F,0.006842941
446,g__Thelephora,Soil,HKM_1,2.884941017
447,g__Thelephora,Soil,HKM_2,0.085574426
448,g__Thelephora,Soil,HKM_3,0.001173902
449,g__Thelephora,Soil,HKM_4,0
450,g__Thelephora,Soil,HKM_F,0
131,g__Thelephora,Root,BGM_1,0.013598306
132,g__Thelephora,Root,BGM_2,2.528917307
133,g__Thelephora,Root,BGM_3,0.032158994
134,g__Thelephora,Root,BGM_4,0.001233319
135,g__Thelephora,Root,BGM_F,0
441,g__Thelephora,Root,HKM_1,3.135984561
442,g__Thelephora,Root,HKM_2,0
443,g__Thelephora,Root,HKM_3,0
444,g__Thelephora,Root,HKM_4,0
445,g__Thelephora,Root,HKM_F,0
586,g__Thielavia,Soil,SH_F,0
587,g__Thielavia,Soil,SH_M,0.707885781
588,g__Thielavia,Soil,SH_P,0
710,g__Tolypocladium,Soil,RGM_Pit,0.061225271
711,g__Tolypocladium,Soil,RGM_Process,0.140061052
708,g__Tolypocladium,Root,RGM_Pit,0.39259328
709,g__Tolypocladium,Root,RGM_Process,0.232533559
146,g__Tomentella,Soil,BGM_1,0.522969792
147,g__Tomentella,Soil,BGM_2,0.450097767
148,g__Tomentella,Soil,BGM_3,0
149,g__Tomentella,Soil,BGM_4,0.002959781
150,g__Tomentella,Soil,BGM_F,0
456,g__Tomentella,Soil,HKM_1,0.000705537
457,g__Tomentella,Soil,HKM_2,0.207054205
458,g__Tomentella,Soil,HKM_3,2.510389031
459,g__Tomentella,Soil,HKM_4,0
460,g__Tomentella,Soil,HKM_F,0
714,g__Tomentella,Soil,RGM_Pit,0
715,g__Tomentella,Soil,RGM_Process,0.963368648
141,g__Tomentella,Root,BGM_1,1.263671154
142,g__Tomentella,Root,BGM_2,1.553033024
143,g__Tomentella,Root,BGM_3,0
144,g__Tomentella,Root,BGM_4,0
145,g__Tomentella,Root,BGM_F,0
451,g__Tomentella,Root,HKM_1,0
452,g__Tomentella,Root,HKM_2,0.003269256
453,g__Tomentella,Root,HKM_3,5.975701452
454,g__Tomentella,Root,HKM_4,0
455,g__Tomentella,Root,HKM_F,0
712,g__Tomentella,Root,RGM_Pit,0
713,g__Tomentella,Root,RGM_Process,0.544339922
466,g__Trechispora,Soil,HKM_1,4.173251679
467,g__Trechispora,Soil,HKM_2,0.014960564
468,g__Trechispora,Soil,HKM_3,0.001760853
469,g__Trechispora,Soil,HKM_4,0.000756664
470,g__Trechispora,Soil,HKM_F,0.186883173
718,g__Trechispora,Soil,RGM_Pit,0.225768186
719,g__Trechispora,Soil,RGM_Process,0.015263063
461,g__Trechispora,Root,HKM_1,0
462,g__Trechispora,Root,HKM_2,0.013077024
463,g__Trechispora,Root,HKM_3,0.003957418
464,g__Trechispora,Root,HKM_4,0
465,g__Trechispora,Root,HKM_F,0.004609357
716,g__Trechispora,Root,RGM_Pit,0
717,g__Trechispora,Root,RGM_Process,3.445724553
476,g__Trichoderma,Soil,HKM_1,0.452954789
477,g__Trichoderma,Soil,HKM_2,0.309982885
478,g__Trichoderma,Soil,HKM_3,0.414093865
479,g__Trichoderma,Soil,HKM_4,0.117661302
480,g__Trichoderma,Soil,HKM_F,0.047991147
722,g__Trichoderma,Soil,RGM_Pit,0.386484521
723,g__Trichoderma,Soil,RGM_Process,0.118513198
471,g__Trichoderma,Root,HKM_1,0.203322076
472,g__Trichoderma,Root,HKM_2,0.065385118
473,g__Trichoderma,Root,HKM_3,0.051446436
474,g__Trichoderma,Root,HKM_4,0
475,g__Trichoderma,Root,HKM_F,0.320350311
720,g__Trichoderma,Root,RGM_Pit,0
721,g__Trichoderma,Root,RGM_Process,0
156,g__Tricholoma,Soil,BGM_1,0
157,g__Tricholoma,Soil,BGM_2,0.071326969
158,g__Tricholoma,Soil,BGM_3,0.000511007
159,g__Tricholoma,Soil,BGM_4,4.374556033
160,g__Tricholoma,Soil,BGM_F,0.00342147
486,g__Tricholoma,Soil,HKM_1,0
487,g__Tricholoma,Soil,HKM_2,0.478438835
488,g__Tricholoma,Soil,HKM_3,0.011152067
489,g__Tricholoma,Soil,HKM_4,1.093001612
490,g__Tricholoma,Soil,HKM_F,0
151,g__Tricholoma,Root,BGM_1,0.000971308
152,g__Tricholoma,Root,BGM_2,0
153,g__Tricholoma,Root,BGM_3,0
154,g__Tricholoma,Root,BGM_4,6.143163711
155,g__Tricholoma,Root,BGM_F,0
481,g__Tricholoma,Root,HKM_1,0
482,g__Tricholoma,Root,HKM_2,0
483,g__Tricholoma,Root,HKM_3,0
484,g__Tricholoma,Root,HKM_4,0
485,g__Tricholoma,Root,HKM_F,0
726,g__Tuber,Soil,RGM_Pit,0.015306318
727,g__Tuber,Soil,RGM_Process,0
724,g__Tuber,Root,RGM_Pit,0
725,g__Tuber,Root,RGM_Process,1.814466406
730,g__Tylospora,Soil,RGM_Pit,0
731,g__Tylospora,Soil,RGM_Process,1.657389118
728,g__Tylospora,Root,RGM_Pit,0
729,g__Tylospora,Root,RGM_Process,0.292428566
166,g__Umbelopsis,Soil,BGM_1,0.105251782
167,g__Umbelopsis,Soil,BGM_2,0.849159858
168,g__Umbelopsis,Soil,BGM_3,0.001788525
169,g__Umbelopsis,Soil,BGM_4,0.009724994
170,g__Umbelopsis,Soil,BGM_F,0.58746647
496,g__Umbelopsis,Soil,HKM_1,0.003527685
497,g__Umbelopsis,Soil,HKM_2,5.796919321
498,g__Umbelopsis,Soil,HKM_3,0.295823257
499,g__Umbelopsis,Soil,HKM_4,0.342768937
500,g__Umbelopsis,Soil,HKM_F,1.211635312
734,g__Umbelopsis,Soil,RGM_Pit,1.551677955
735,g__Umbelopsis,Soil,RGM_Process,1.580175974
161,g__Umbelopsis,Root,BGM_1,0
162,g__Umbelopsis,Root,BGM_2,0
163,g__Umbelopsis,Root,BGM_3,0
164,g__Umbelopsis,Root,BGM_4,0
165,g__Umbelopsis,Root,BGM_F,0.0020404
491,g__Umbelopsis,Root,HKM_1,0.003446137
492,g__Umbelopsis,Root,HKM_2,0.166732052
493,g__Umbelopsis,Root,HKM_3,0.003957418
494,g__Umbelopsis,Root,HKM_4,0.086877691
495,g__Umbelopsis,Root,HKM_F,0.009218714
732,g__Umbelopsis,Root,RGM_Pit,0.003091286
733,g__Umbelopsis,Root,RGM_Process,0.014092943
176,g__unidentified,Soil,BGM_1,1.085248255
177,g__unidentified,Soil,BGM_2,0.817002313
178,g__unidentified,Soil,BGM_3,1.032476383
179,g__unidentified,Soil,BGM_4,1.032106723
180,g__unidentified,Soil,BGM_F,0.27541036
506,g__unidentified,Soil,HKM_1,0.895738086
507,g__unidentified,Soil,HKM_2,0.506165747
508,g__unidentified,Soil,HKM_3,0.501288683
509,g__unidentified,Soil,HKM_4,0.897719162
510,g__unidentified,Soil,HKM_F,0.116747091
738,g__unidentified,Soil,RGM_Pit,0.729920024
739,g__unidentified,Soil,RGM_Process,0.483757877
589,g__unidentified,Soil,SH_F,0.024342589
590,g__unidentified,Soil,SH_M,1.028701197
591,g__unidentified,Soil,SH_P,0.763643236
171,g__unidentified,Root,BGM_1,1.440398011
172,g__unidentified,Root,BGM_2,1.125937914
173,g__unidentified,Root,BGM_3,0.140526341
174,g__unidentified,Root,BGM_4,0.272660945
175,g__unidentified,Root,BGM_F,0.02631042
501,g__unidentified,Root,HKM_1,1.572682856
502,g__unidentified,Root,HKM_2,0.86744257
503,g__unidentified,Root,HKM_3,0.344625167
504,g__unidentified,Root,HKM_4,1.347653463
505,g__unidentified,Root,HKM_F,0.248393127
736,g__unidentified,Root,RGM_Pit,0.964407526
737,g__unidentified,Root,RGM_Process,0.678390653
